Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000034538,,Paisley,1892,Alexander Gardner,"A Pilgrimage to the Land of Burns, and Poems ... With a memoir of the author, by Thomas C. Latto. [With portraits.]","AINSLIE, Hew.","LATTO, Thomas C.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034538,British Library HMNTS 12272.f.15.
000034785,,London,"[1860,] 1861-1863",J. Maxwell & Co.,The illustrated universal gazetteer,,"AINSWORTH, William Francis.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034785,British Library HMNTS 10003.d.14.
000034793,,London,[1872],C. Griffin & Co.,"Wanderings in every Clime; or, voyages, travels, and adventures all round the world ... A sequel to “The Earth delineated with pen and pencil” ... With ... illustrations, etc","AINSWORTH, William Francis.","Doré, Gustave",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034793,British Library HMNTS 10027.h.8.
000034810,,London,1872,Tinsley Bros.,"Boscobel; or, the Royal Oak. A tale of the year 1651 ... Illustrated by J. H. Rimbault","Ainsworth, William Harrison","RIMBAULT, J. H.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034810,British Library HMNTS 12630.dd.1.
000034826,,London,1861,Chapman & Hall,The Constable of the Tower: an historical romance ... Illustrated by John Gilbert,"Ainsworth, William Harrison","Gilbert, John - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034826,British Library HMNTS 12634.g.1.
000034852,"New edition, with illustrations by Sir John Gilbert.",London,[1874.],G. Routledge & Sons,"[The Flitch of Bacon: or, the Custom of Dunmow. A tale of English home. With illustrations by John Gilbert.]","Ainsworth, William Harrison","Gilbert, John - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034852,British Library HMNTS 12620.ee.28.
000034914,,London,1858 [1851-58],G. Routledge & Co.,Mervyn Clitheroe ... Illustrated by Hablot K. Browne,"Ainsworth, William Harrison","BROWNE, Hablot Knight.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034914,British Library HMNTS 12620.d.8.
000034952,,London,1860,"Routledge, Warne & Routledge",Ovingdean Grange. A tale of the South Downs. Illustrated by Hablot K. Browne,"Ainsworth, William Harrison","BROWNE, Hablot Knight.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034952,British Library HMNTS 12621.h.18.
000034967,[Another edition.] With illustrations by John Gilbert.,London,1857,G. Routledge & Co.,[Rookwood ... The fourth edition ... with illustrations by George Cruikshank. [With a portrait.]],"Ainsworth, William Harrison","Gilbert, John - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034967,British Library HMNTS 12620.e.8.
000034987,,London,1857 [1856],G. Routledge & Co.,The Spendthrift: a tale ... With illustrations by Hablot K. Browne,"Ainsworth, William Harrison","BROWNE, Hablot Knight.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034987,British Library HMNTS 12602.g.5.
000036171,,Paris,[1896],,L'Auvergne. Illustrations de A. Montader,"Ajalbert, Jean","MONTADER, Alfred - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036171,British Library HMNTS 10173.f.7.
000036231,,London,1878,William Poole,Plimsoll's England. A satire. By Ajax. [In verse.],,"PLIMSOLL, Samuel.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036231,British Library HMNTS 11646.g.51.(21.)
000036521,[Another edition.] With memoir and critical dissertation by the Rev. George Gilfillan.,Edinburgh,1857,James Nichol,[The Poetical Works of Mark Akenside ... With a biographical sketch of the author (by Dr. Johnson).]: Collections,"Akenside, Mark","Gilfillan, George",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036521,British Library HMNTS 11603.f.2.
000036531,,Napoli,1821,,[Hymn to the Naiads.] Alle Najadi. Inno alla Greca ... Recato in verso Italiano da T. J. Mathias,"AKENSIDE, Mark.","MATHIAS, Thomas James.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036531,British Library HMNTS 11602.f.2.(6.)
000036721,,London,1897,Bliss & Sands,"Triscombe Stone: a romance of the Quantock Hills, etc","AKERMAN, Portland Board - and HURST (Norman)","HURST, Norman.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036721,British Library HMNTS 012625.f.44.
000038673,,Ἐν Κερκυρᾳ,1891,,Κερκυραϊκα ἀπομνημονευματα. [Edited by I. Delotes.],"ALBANAS, Phriderikos.","DELOTES, I.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000038673,British Library HMNTS 10127.df.27.
000038986,,London,1827,William Marsh,"Scenes and Occurrences in Albany and Cafferland, South Africa. [By T. Phillips.]",,"PHILLIPS, T. - Rev., Baptist Missionary",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000038986,British Library HMNTS 790.d.17.
000039670,,London,1808,T. & R. Hughes,"Albert and Rosalie, or the Fire King. A grand melodrama, in three acts. [By F. F. Warton. In verse.]",,"WARTON, Ferdinand Fullarton.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000039670,British Library HMNTS 11779.c.23.
000039775,,Plymouth,1868,W. Cann,"The Prince Albert, a poem. [By Joseph Plimsoll.]: Appendix","Albert - Prince Consort of Victoria, Queen of Great Britain","PLIMSOLL, Joseph.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000039775,British Library HMNTS 11602.ee.17.(1.)
000040021,,London,1886,Macmillan & Co.,"The Cruise of Her Majesty's Ship “Bacchante,” 1879-1882. Compiled from the private journals, letters and note-books of Prince Albert Victor and Prince George of Wales, with additions by J. N. Dalton",,"DALTON, John Neale.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040021,British Library HMNTS 10024.cc.26.
000040627,,Trento,1860,,Annali del principato ecclesiastico di Trento dal 1022 al 1540 compilati sui documenti da F. F. degli Alberti ... reintegrati ... da T. Gar,"ALBERTI, Francesco Felice degli.","GAR, Tommaso.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040627,British Library HMNTS 10132.d.1.
000040680,,Amsterdam,1810,,"De Kaffers aan de zuidkust van Afrika, natuur en geschiedkundig beschreuen. [Translated from the German manuscript by Jan Konijnenburg.]","ALBERTI, Johann Christoph Ludwig.","KONIJNENBURG, Jan.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040680,British Library HMNTS 10096.dd.2.
000040976,,Heilbronn,1886,,Francisci Albertini Opusculum de mirabilibus novae urbis Romae. Herausgegeben von August Schmarsow,"ALBERTINI, Francesco degli.","SCHMARSOW, August.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040976,British Library HMNTS 010136.f.78.
000041050,,Torino,1880,,Alla Nuova Guinea: ciò che ho veduto e ciò che ho fatto. [With illustrations of birds by J. Gould.],"ALBERTIS, Luigi Maria d'.","GOULD, John - F.R.S",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041050,British Library HMNTS 10491.ee.11.
000041096,,w Krakowie,1849,,Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich. Z rękopismów Albertrandego podług wydania Ż. Onacewicza. Z dołączeniem Pamiętników historyi Stefana Batorego dotyczących. [With the preface of Onacewicz.],"ALBERTRANDY, Jan Chrzciciel - Bishop of Zenopolis","ONACEWICZ, Żegota.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041096,British Library HMNTS 9455.d.9.
000041097,"[Another edition.] Panowanie Henryka Walezyusza i Stefana Batorego Królów Polskich. Z rękopismów Albertrandego, podług wydania Ż. Onacewicza, z dołączeniem pamiętników historyi Stefana Batorego dotyczących, i listu J. Chiakora Sekretarza Król. opisującego ostatnie chwile tego monarchy.",w Krakowie,1860,,[Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich. Z rękopismów Albertrandego podług wydania Ż. Onacewicza. Z dołączeniem Pamiętników historyi Stefana Batorego dotyczących. [With the preface of Onacewicz.]],"ALBERTRANDY, Jan Chrzciciel - Bishop of Zenopolis","ONACEWICZ, Żegota.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041097,British Library HMNTS 9455.bb.35.
000041601,,London,1724,J. Roberts,"Albion; or, the Court of Neptune. A masque. [By Thomas Cooke.]",,"COOKE, Thomas - of Braintree, Essex",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041601,British Library HMNTS 642.i.5.(1.)
000041623,,London,1772,J. Wilkie,The Albion Princess: a pindaric ode. [By Robert Colvill.],,"COLVILL, Robert.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041623,British Library HMNTS 11602.gg.29.(11.)
000042862,,London,1812-15,"James Carpenter, etc.","The Geographical and Historical Dictionary of America and the West Indies, containing an entire translation of the Spanish work of ... A. de Alcedo, with large additions ... by G. A. Thompson","ALCEDO, Antonio de.","THOMPSON, George Alexander.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000042862,British Library HMNTS 797.dd.2.|British Library HMNTS 146.d.15-19.
000042904,,London,1873,"Smith, Elder & Co.",Alcestis. [A novel. By Blanche Warre Cornish.],,"CORNISH, Blanche Warre.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000042904,British Library HMNTS 12638.d.28.
000042911,,London,1851,Richard Bentley,"Spiritual Alchemy; or, Trials turned to Gold. By the Author of “Hearts in Mortmain,” and “Cornelia” [i.e. Margaret Sandbach]",,"SANDBACH, Margaret - Mrs",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000042911,British Library HMNTS 12625.b.11.
000043140,,London,1835,Richard Bentley,Recollections of an Excursion to the Monasteries of Alcobaça & Batalha. By the author of Vathek [i.e. W. Beckford. With a portrait],,"Beckford, William",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000043140,British Library HMNTS 1050.g.16.
000043252,,London,1799,C. Dilly,"Poems, &c. &c. [Edited by Joanna Hughes.]","ALCOCK, Mary - Poetical Writer","HUGHES, Joanna.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000043252,British Library HMNTS 994.i.1.|British Library HMNTS RF.2004.a.50
000045172,,Boston,1875,H. L. Shepard & Co.,"History of the United States Marine Corps ... From official reports and other documents, compiled by Captain R. S. Collum","ALDRICH, M. Almy.","COLLUM, Richard S.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000045172,British Library HMNTS 9602.ee.2.
000045574,,London,1867,Hurst & Blackett,"Alec's Bride. By the author of “St. Olave's” [i.e. Eliza Tabor, afterwards Stephenson], etc",,"TABOR, afterwards STEPHENSON, Eliza.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000045574,British Library HMNTS 12625.aaa.1.
000048378,,London,1837,Henry Colburn,Narrative of a Voyage of Observation among the Colonies of Western Africa ... and of a campaign in Kaffir-Land ... in 1835 ... Illustrated with maps and plates by Major C. C. Michell,"Alexander, James Edward - Sir","MITCHELL, C. C. - Major",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048378,British Library HMNTS 1047.k.11.
000048384,,London,1830,Henry Colburn & Richard Bentley,"Travels to the Seat of War in the East, through Russia and the Crimea, in 1829, etc. [With plates and a map.]","Alexander, James Edward - Sir|ALEXANDER, John Henry - Engineer","DUCATEL, Julius Timoleon.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048384,British Library HMNTS 1048.c.12.|British Library OC T 15504
000048908,,London,1841,J. R. Smith,"A Journey to Beresford Hall, the seat of Charles Cotton Esqre, the celebrated author and angler. [Preceded by a memoir of the author. The dedication signed: J. G.]","ALEXANDER, William - Assistant Keeper of Antiquities, British Museum","G., J.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048908,British Library HMNTS 10351.g.9.
000048989,,Edinburgh,"1884, 85",Privately issued by W. Paterson,"The Earl of Stirling's Register of Royal Letters relative to the affairs of Scotland and Nova Scotia from 1615 to 1635. Edited, with a biographical introduction, by the Rev. Charles Rogers","Stirling, William Alexander - Earl of","ROGERS, Charles - D.D",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048989,British Library HMNTS 9509.cc.3.
000049023,"[Another edition.] [With illustrations by George Reid, R.S.A., engraved by Amand-Durand.]",Edinburgh,1880,David Douglas,"[Johnny Gibb of Gushetneuk, in the parish of Pyketillim; with glimpses of the parish politics about A.D. 1843. [By W. Alexander. Reprinted from the 'Aberdeen Free Press.']]","ALEXANDER, William - of the Aberdeen Free Press","DURAND, Armand - Engraver",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000049023,British Library HMNTS 12620.h.1.
000049724,,"Cambridge, [Mass.]",1872,Riverside Press,His Imperial Highness the Grand Duke Alexis in the United States of America during the winter of 1871-72. [By William W. Tucker. With a portrait.],,"TUCKER, William W.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000049724,British Library HMNTS 010409.h.10.
000051061,,Wien,1837,,Rückblicke auf Algier und dessen Eroberung ... im Jahre 1830. Von einem Offizier aus dem Gefolge des Marschall grafen Baurmont [i.e. Friedrich von Schwarzenberg]: Appendix,,"SCHWARZENBERG, Friedrich von - Prince",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051061,British Library HMNTS 10095.g.30.
000051064,,London,"1863, [1862]",Richard Bentley,Through Algeria. By the author of “Life in Tuscany” [i.e. Mabll Sharman Crawford]: Appendix,,"CRAWFORD, Mabel Sharman.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051064,British Library HMNTS 10096.c.13.
000051125,,London,[1820?],Goyder,"Travels in Algeirs, Spain, &c. &c. With a faithful ... account of the Algerines, etc. [By Sophia Barnard.]: Appendix",,"BARNARD, Sophia.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051125,British Library HMNTS 10095.g.35.
000051466,,Bombay,1884,,"Ali Baba, or the Forty Thieves. A burlesque extravaganza ... Adapted ... by ... E. A. P. Hobday, with ... new songs and music, selected and arranged by ... J. H. Leslie. [The libretto. With illustrations.]",,"HOBDAY, Edmund Arthur Ponsonby.|LESLIE, John Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051466,British Library HMNTS 011779.f.19.(2.)|British Library HMNTS 011779.f.21.
000052264,,Paris,1894,,Nos Africains.-La mission Crampel.-La mission Dybowski.-La mission Mizon.-La mission Monteil ... La seconde mission Mizon ... Ouvrage illustré,"ALIS, Harry - pseud. [i.e. Jules Hippolyte Percher.]","CRAMPEL, Paul.|DYBOWSKI, Jean.|MIZON, Louis Alexandre Antoine.|MONTEIL, Parfait Louis.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052264,British Library HMNTS 010095.i.4.
000052272,,Agen,1887,,"Notice sur le château, les anciens seigneurs et la paroisse de Mauvezin, près Marmande ... Accompagnée de nombreux dessins, etc. [With an introduction by J. P. Tamizey de Larroque.]","ALIS, R. L.","TAMIZEY DE LARROQUE, Jacques Philippe.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052272,British Library HMNTS 010167.f.5.
000052316,,Edinburgh & London,1883,W. Blackwood & Sons,"Alison. [A novel.] By the author of “Miss Molly,” etc. [i.e. Beatrice May Butt.]",,"BUTT, Beatrice May.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052316,British Library HMNTS 12635.u.10.
000052347,"[Another edition.] A Sermon preached ... the day after the funeral of Sir William Forbes, etc.",Edinburgh; John Murray,1808,Archibald Constable & Co.,"[A Sermon preached ... the day after the funeral of Sir William Forbes, of Pitsligo, Baronet.]","ALISON, Archibald - Prebendary of Sarum","FORBES, William - Sir, Bart",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052347,British Library HMNTS 11611.k.8.(3.)
